package_name,version,label,timestamp,routing,structural_risk_score,parse_success,total_behaviors,behavior_categories,max_confidence,model_name,prompt_version,raw_response,parsed_json
@actions/core,1.10.1,benign,2026-03-26T13:33:41.567389,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json{""behaviors"":[],""risk_vector"":[]}```


```","{""behaviors"": [], ""risk_vector"": []}"
@alifd/next,1.26.24,benign,2026-03-26T13:33:43.030361,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```

```","{""behaviors"": [], ""risk_vector"": []}"
@ampproject/remapping,2.2.1,benign,2026-03-26T13:33:44.600270,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```","{""behaviors"": [], ""risk_vector"": []}"
@angular-devkit/core,16.2.3,benign,2026-03-26T13:33:46.296337,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```","{""behaviors"": [], ""risk_vector"": []}"
@ant-design/icons,5.2.6,benign,2026-03-26T13:33:47.646000,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```","{""behaviors"": [], ""risk_vector"": []}"
@apidevtools/json-schema-ref-parser,11.1.0,benign,2026-03-26T13:33:58.161135,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"Based on the provided JavaScript code, it appears that the package is primarily focused on parsing JSON schema files and resolving references within them. However, there are no evident malicious behaviors or suspicious patterns in the code.


## Static Analysis

The static analysis of the code indicates that the package is using several dependencies including `@jsdevtools/ono`, `@types/json-schema`, `@types/lodash.clonedeep`, `js-yaml`, `lodash.clonedeep`, `@types/eslint`, `@types/js-yaml`, and `@types/node`. These dependencies are not standard or commonly used in JavaScript and may indicate potential malicious activities.

## Risk Vector

Based on the provided information, the risk vector is empty as no malicious behaviors or suspicious patterns are detected.

## Output

The output of the analysis is a JSON object with an empty ""behaviors"" array and an empty ""risk_vector"".

```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```

Please note that this analysis is based on the provided code and does not guarantee the safety of the package. For a comprehensive security analysis, it is recommended to conduct a full code review and possibly conduct a dynamic analysis.","{""behaviors"": [], ""risk_vector"": []}"
@apollo/client,3.8.4,benign,2026-03-26T13:33:59.674742,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```

```","{""behaviors"": [], ""risk_vector"": []}"
@assemblyscript/loader,0.27.9,benign,2026-03-26T13:34:01.220197,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```","{""behaviors"": [], ""risk_vector"": []}"
@aws-cdk/aws-ec2,1.204.0,benign,2026-03-26T13:34:03.033895,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```","{""behaviors"": [], ""risk_vector"": []}"
@azure/abort-controller,1.1.0,benign,2026-03-26T13:34:04.481998,skip,0.0,True,0,,0,deepseek-coder-6.7b-instruct,semantic_v1.0,"```json
{
  ""behaviors"": [],
  ""risk_vector"": []
}
```","{""behaviors"": [], ""risk_vector"": []}"
